"Light" "Wind.Speed" "Air.Pressure" "Air.Temperature" "Water.temperature"
"1" 1953.43 35.46 1004.3 29.6 29.9688
"2" 0.028216 32.616 1005.3 28 29.6228
"3" 782.286 18.684 1015.1 24.6 25.4386
"4" 1431.98 37.728 1013.6 25.3 25.1284
"5" -0.013236 28.4652 1013.7 25 25.4284
"6" 2168.26 23.3424 1010.2 27.6 27.9199
"7" 1049 37.512 1016 24.6 25.9017
"8" 2079.35 28.6884 1013.2 26 26.7488
"9" 4.296 19.7028 1001.4 27.8 29.502
"10" 76.5754 7.7112 1010.7 24.9 25.2115
"11" -0.015679 14.1336 999.2 27.9 28.8801
"12" 1943.98 22.1004 1008.3 27.8 28.5567
"13" 880.467 37.116 1013.5 26.2 27.1726
"14" 1570.4 33.12 1013.8 26.6 27.3146
"15" 458.618 19.9728 1008.7 27.4 28.968
"16" 451.831 21.1896 1011.1 25.3 25.2231
"17" 2099.4 33.12 1011.7 25.4 26.218
"18" 98.4275 7.3404 1004.5 29.2 29.3719
"19" 971.501 25.1748 1012.8 25.9 27.4429
"20" 2143.74 29.304 1008.4 27.3 28.4172
"21" -0.029801 10.5768 1004.3 30.3 29.6147
"22" 0.031536 36.504 1015.3 24.7 25.6258
"23" 1279.3 14.166 1007.4 28.5 29.8511
"24" 0.192334 21.7728 1007.4 28.1 29.2731
"25" 205.049 29.556 1005.5 28.6 29.1765
"26" 0.003943 2.0448 1005.3 29.4 29.4257
"27" 471.691 29.484 1012.2 25.9 27.2934
"28" 0.016497 47.016 1005.5 27.2 28.8524
"29" 0.036607 17.1756 1013.6 26.8 27.4292
"30" 0.036104 27.8712 1013.3 26.2 27.3175
"31" 1.36499 24.8508 1003.7 27.8 29.3808
"32" 183.634 9.6696 1008.1 28.1 29.1859
"33" 0.034681 15.588 1004.9 28.8 29.0395
"34" 1902.61 17.3772 1013.3 25.4 25.3541
"35" 551.724 31.176 1001.6 29.7 29.6701
"36" 0.011863 24.4908 1011.2 26.6 26.9011
"37" 898.066 0.3492 1012.8 25.4 25.8816
"38" 122.728 22.9896 1005.9 27.5 28.9096
"39" 5.36196 23.3532 1012 26.3 27.0595
"40" 0.003527 5.5512 1009.1 30.3 29.3739
"41" 1429.74 46.188 1008.3 28.2 28.8351
"42" 0.006314 15.0912 1011.1 26.7 27.8543
"43" 0.198723 28.3176 1010.7 25.3 26.5919
"44" 932.837 37.404 1009.8 27.9 29.4381
"45" -0.002658 12.5172 1005 29.2 29.2442
"46" 34.4832 10.188 1006.5 29.1 29.6834
"47" 0.049838 9.1404 1005.8 29.1 29.2445
"48" 978.055 27.7236 1004.5 29.8 29.8682
"49" 2145.23 25.1136 1010.9 28.9 29.2879
"50" 1321.94 33.588 1015.3 26.5 26.4655
"51" 1651.82 30.6 1008.2 27.4 28.8097
"52" 745.361 22.3992 1013.6 25 25.4382
"53" 0.010055 20.4876 1007.6 27.8 29.2346
"54" -0.016072 49.932 1007 28 28.7067
"55" 0.024697 8.7696 1012.6 25.4 26.8388
"56" 0.019094 6.9264 1006.7 29.3 29.1485
"57" 373.238 18.3492 1009.4 26.1 26.6001
"58" 295.996 34.668 1001.9 29.3 29.4731
"59" 0.006525 21.528 1010.8 27.7 27.6266
"60" -0.026027 23.346 1005.1 29 30.1308
"61" 2098.68 26.3376 1012.9 26.1 26.7231
"62" 1919.18 29.232 1008.8 27.3 27.4293
"63" 0.039238 31.176 1013.2 26.2 26.9072
"64" 1797.61 15.12 1011.1 26.6 27.3342
"65" 57.595 29.556 1003.1 28.4 29.0794
"66" 0.000179 30.312 1014.5 27.1 27.5525
"67" 650.247 25.8948 1004.2 27.5 29.2804
"68" -0.001265 25.2576 1010.1 27.7 28.4403
"69" 0.025477 6.0372 1010.6 29 29.5369
"70" 0.03288 25.4232 1011.7 26 26.4414
"71" 1246.69 40.104 1017.6 25.1 25.583
"72" 1.72873 34.884 1012 26.2 26.6466
"73" 1902.15 19.2564 1002.6 29 29.0022
"74" -0.003588 4.0176 1010.5 25.8 26.7291
"75" 1022.45 25.1424 1013.1 26 27.3858
"76" 17.6005 33.66 1000.9 29.8 29.5782
"77" 4.01859 16.344 1012.6 21.8 25.4856
"78" -0.003484 20.8872 1008.7 28.3 29.3111
"79" 2203.86 31.068 1013.8 26.4 27.0289
"80" 0.037581 32.76 1014.6 24.6 25.194
"81" 26.1517 0.4176 1012.3 22.1 25.9714
"82" 0.024778 25.164 1013.9 26.3 27.3789
"83" -0.002291 37.044 1004.2 26.4 29.0652
"84" 253.676 10.7244 1008 29.1 29.8619
"85" 296.608 18.8172 1007.2 27.7 29.1697
"86" -0.003726 33.516 1008.8 25.4 28.9103
"87" 0.004472 27.5652 1013.3 26.6 27.5933
"88" -0.001055 0.414 1017.4 22.4 26.5489
"89" 912.89 32.868 1011.9 26.4 26.8004
"90" 0.033715 19.4868 1008.3 27.5 28.5779
"91" 0.054539 6.7248 1011.8 26.1 26.9801
"92" 2140.98 34.668 1010.8 27.3 27.5147
"93" 1466.67 27.8676 1002.5 29.2 29.4194
"94" -0.043837 41.184 1015.2 25 25.0779
"95" 2114.17 20.9016 1011.9 26.9 27.182
"96" 0.019194 15.9768 1006 27.2 29.3176
"97" 0.024134 35.928 1005.5 29 29.392
"98" 2072.86 15.3792 1006.9 29.8 28.9932
"99" -0.026961 43.992 1017 24.8 25.2455
"100" 1831.48 33.876 1010 27.7 28.1583
"101" -0.008758 19.8252 1004.3 27.8 29.3698
"102" 0.003836 6.282 1004.3 29.7 29.4139
"103" 66.4859 21.6288 1002.8 28.7 29.6108
"104" 2084.52 24.8724 1014.2 25.2 25.9241
"105" 2325.8 31.032 1001.9 29.5 29.4111
"106" 1690 13.626 1002.7 29.6 29.2623
"107" 0.035501 9.6516 1006.4 26.8 28.7853
"108" -0.008995 19.6416 1002 27.8 29.598
"109" 332.156 17.1972 1009.4 26 26.6763
"110" 1366.92 34.812 1014.3 25.3 25.6824
"111" 2038.08 21.4452 1007.3 28.4 29.1025
"112" 0.042388 22.0428 1008.8 28.2 29.373
